School Name,Organization Code,Economically Disadvantaged Percentage,Enrollment (FY 22 Projected),FY 22 Budget (Total Positions),FY 22 Budget (Contracts/Supplies...)
A. Philip Randolph Career and Technical High School,6090,79.22,436,5564100,142385
A.L. Fitzpatrick School,8390,60.42,759,7448260,195924
Abraham Lincoln High School,8010,67.82,1996,23048260,292120
Abram S. Jenks School,2520,71.03,288,3484980,53305
Academy at Palumbo,2620,52.83,1115,7860860,297961
Academy for the Middle Years at Northwest,6480,71.01,280,3093600,124943
Add B. Anderson School,1460,86.59,458,5834500,218266
Alain Locke School,1470,89.07,434,7194460,178665
Albert M. Greenfield School,2470,15.33,693,6125300,138826
Alexander Adaire School,5200,42.41,509,4136300,124728
Alexander K. McClure School,7380,89.15,559,6369980,267360
Allen M. Stearne School,7290,88.01,537,6300320,155811
Alternative Middle Years at James Martin,5430,78.57,392,4698300,155654
Andrew Hamilton School,1290,86.17,462,5600100,87627
Andrew J. Morrison School,7390,80.32,660,8026120,113658
Andrew Jackson School,2510,56.17,571,5427040,94608
Anna B. Day School,6200,76.26,397,4981600,102052
Anna B. Pratt School (Closed),,,,,
Anna L. Lingelbach School,6440,70.1,377,4451000,39995
Anne Frank School,8400,54.04,1350,11098740,276069
Arts Academy at Benjamin Rush,8040,39.18,638,5178500,69236
Aspira Charter School at Olney,,,,,
Aspira Charter School at Stetson,,,,,
Austin Meehan School,8140,72.52,368,5406060,101975
Avery D. Harrington School,1300,84.12,426,6535000,160306
Bache-Martin School,2210,59.96,487,9441360,157162
Baldi School,8160,53.2,1517,14520310,335010
Bayard Taylor School,7440,91.22,474,7303680,113991
Belmont Charter School,,,,,
Benjamin B. Comegys School,1260,84.97,439,4814000,128657
Benjamin Franklin High School,2010,81.79,530,8305900,156645
Benjamin Franklin School,7280,78.02,674,7258680,85769
Bridesburg School,7470,65.15,744,7420100,98903
Camelot Academy,,,,,
Cayuga School,5490,87.32,401,5780720,63254
Central High School,6010,41.83,2382,15879770,372640
Charles W. Henry School,6250,44.44,509,6219000,62305
Chester A. Arthur School,2480,51.43,320,4543600,34638
Clara Barton School,7200,83.03,606,5799340,127679
Communication Technology High School (Closed),,,,,
Cook-Wissahickon School,6410,54.58,473,5898200,60352
