facility_address,lat,lng,street_address
1501 W Diamond ST,39.9858377,-75.15884175,1501 DIAMOND ST
7001 Horrocks ST,40.04536772,-75.06592325,7001 HORROCKS ST
5800 WALNUT ST,39.95745652,-75.23868799,5800 WALNUT ST
3001 W Berks St,39.98579807,-75.18321305,3001 W BERKS ST
1100 E Mount Pleasant Ave,40.07098795,-75.17481156,1100 E MOUNT PLEASANT AVE
1300 East PALMER ST,39.97259627,-75.12996179,1300 E PALMER ST
1800 Nedro AVE,40.04331133,-75.15081204,1800 W NEDRO AVE
400 W Porter ST,39.91733034,-75.15479923,400 PORTER ST
3400 Frankford Ave,39.99624244,-75.10519672,3400 FRANKFORD AVE
1100 E Mount Pleasant AVE,40.07098795,-75.17481156,1100 E MOUNT PLEASANT AVE
4901 Spruce ST,39.9541703,-75.22026309,4901 SPRUCE ST
5701 Wynnfield AVE,39.99198386,-75.2375827,5701 WYNNEFIELD AVE
2700 W Dauphin ST,39.99043963,-75.17699812,2700 W DAUPHIN ST
5640 Spruce ST,39.95581158,-75.23594153,5640 SPRUCE ST
7000 Buist AVE,39.91582887,-75.23629222,7000 BUIST AVE
2000 Catharine ST,39.94198422,-75.1757425,2000 CATHARINE ST
7000 Rural LN,40.0586126,-75.1956056,
1900 S 3rd ST,39.92378681,-75.1508924,1900 S 3RD ST
1701 W Chelten AVE,40.0515625,-75.1481504,
4901 Parrish ST,39.96746024,-75.21958958,4901 PARRISH ST
5900 Baltimore AVE,39.94406756,-75.24216413,5900 BALTIMORE AVE
11061 Knights RD,40.08041247,-74.97501527,11061 KNIGHTS RD
9120 Academy RD,40.05349109,-75.00853757,9120 ACADEMY RD
11061 KNIGHTS RD,40.08041247,-74.97501527,11061 KNIGHTS RD
3133 Ridge AVE,39.99074372,-75.18402465,3133 RIDGE AVE
2200 N 22nd ST,39.9890274,-75.16974028,2200 N 22ND ST
4600 W Girard AVE,39.97303519,-75.21394555,4600 W GIRARD AVE
4801 Haverford AVE,39.96273355,-75.21642611,4801 HAVERFORD AVE
8025 THOURON AVE,40.07216412,-75.17016109,8025 THOURON AVE
3543 Fairmount AVE,39.96609345,-75.19437691,3543 FAIRMOUNT AVE
2498 W Diamond ST,39.98700376,-75.1743054,2498 DIAMOND ST
5000 Oxford AVE,40.02162221,-75.08515942,5000 OXFORD AVE
11000 Bustleton AVE,40.114347,-75.02337188,11000 BUSTLETON AVE
2150 W LEHIGH AVE,39.99485648,-75.16685169,2150 W LEHIGH AVE
103 S 60th ST,39.96022534,-75.24088894,103 S 60TH ST
3001 Princeton AVE,40.03894045,-75.05261303,3001 PRINCETON AVE
238 E Wyoming ST,40.02034001,-75.12102564,238 E WYOMING AVE
6801 Cottage ST,40.02836911,-75.04658904,6801 COTTAGE ST
6001 CEDAR AVE,39.9529763,-75.24365086,6001 CEDAR AVE
600 SHARON LN,40.09581255,-75.05674254,600 SHARON LN
5000 OXFORD AVE,40.02162221,-75.08515942,5000 OXFORD AVE
2401 S 67th ST,39.92240519,-75.23524554,2401 S 67TH ST
1450 W Olney Ave,40.03903832,-75.14652513,1450 W OLNEY AVE
3600 Stanwood St,40.04345815,-75.02422304,3600 STANWOOD ST
3500 ACADEMY RD,40.0948884,-74.97325882,3500 ACADEMY RD
1100 E Mt Pleasent AVE,40.07098795,-75.17481156,1100 E MOUNT PLEASANT AVE
2942 BELGRADE ST,39.98347357,-75.11060074,2942 BELGRADE ST
6200 Crittenden St,40.05717378,-75.16530709,6200 CRITTENDEN ST
3116 FRANKFORD AVE,39.99285815,-75.11234991,3116 FRANKFORD AVE
5701 Wynnefield Ave,39.99198386,-75.2375827,5701 WYNNEFIELD AVE
600 Sharon Ln,40.09581255,-75.05674254,600 SHARON LN
6100 N Front St,40.04318407,-75.11975275,6100 N FRONT ST
1600 N 18th St,39.9781445,-75.16458901,1600 N 18TH ST
5300 DITMAN ST,40.01575884,-75.06693662,5300 DITMAN ST
6900 Summerdale Ave,40.04893285,-75.07658424,6900 SUMMERDALE AVE
2501 Coral St,39.98474819,-75.12673292,2501 CORAL ST
5900 BALTIMORE AVE,39.94406756,-75.24216413,5900 BALTIMORE AVE
5500 KINGSESSING AVE,39.93681427,-75.223291,5500 KINGSESSING AVE
1146 MELON ST,39.96504578,-75.15621954,1146 MELON ST
140 W LOGAN ST,40.02577288,-75.16486718,140 W LOGAN ST
3199 D ST,39.99746134,-75.12125548,3199 D ST
1198 S 5th ST,39.93348847,-75.15263063,1198 S 5TH ST
1501 S 7TH ST,39.92999078,-75.15659589,1501 S 7TH ST
3133 RIDGE AVE,39.99074372,-75.18402465,3133 RIDGE AVE
6600 CHESTER AVE,39.92728889,-75.23981532,6600 CHESTER AVE
550 N BROAD ST,39.96360906,-75.16116722,550 N BROAD ST
5100 Greenway AVE,39.94011728,-75.21640764,5100 GREENWAY AVE
6900 Summerdale AVE,40.04893285,-75.07658424,6900 SUMMERDALE AVE
1400 W Olney Ave,40.03907544,-75.1448134,1400 W OLNEY AVE
1450 W Olney AVE,40.03903832,-75.14652513,1450 W OLNEY AVE
4550 Haverford AVE,39.96256911,-75.21299966,4550 HAVERFORD AVE
1601 COTTMAN AVE,40.05681488,-75.06977908,1601 COTTMAN AVE
3698 N Randolph ST,40.00747701,-75.13787896,3698 N RANDOLPH ST
1501 W DIAMOND ST,39.9858377,-75.15884175,1501 DIAMOND ST
4667 UMBRIA ST,40.03147536,-75.23067163,4667 UMBRIA ST
1600 N 18TH ST,39.9781445,-75.16458901,1600 N 18TH ST
1750 N 12th ST,39.97924159,-75.15425126,1750 N 12TH ST
6701 N 13th ST,40.05478123,-75.13900434,6701 N 13TH ST
2875 Welsh RD,40.06252827,-75.02815042,2875 WELSH RD
7809 CASTOR AVE,40.05849471,-75.05773521,7809 CASTOR AVE
