Application Date,Planned Completion Date,Facility Name,Facility Owner,Operation Type,Permit Number,Project Type,School Address,School Level,School Name,School Website,Status,URL,Description,Planned Start Date
1/2/18,2/2/18,HOWE ACADEMICS PLUS ES,,Renovation,AN18-000004,Small Removal Project,,Elementary,Julia W. Howe School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=77763514&permit_ID=4024474,"HOWE ACADEMICS PLUS ES - CAP 1 LF ACPI IN STORE ROOM #1, 1 LF ACPI IN BASEMENT HALL OUTSIDE GYM, <1 LF ACPI IN 2ND FLOOR CLASSROOM 10, 6 SF OF VDc IN BASEMENT MECHANICAL ROOM/MIDDLE FAN ROOM, <1 LF ACPFI IN BASEMENT MAIN HALL.",1/3/18
1/2/20,1/5/20,FURNESS HS,,Renovation,AN20-000003,Minor Removal Project,,High,Furness High School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=81244029&permit_ID=6765982,FURNESS HS - REM 15 LF ACPI IN 312.,1/3/20
1/3/18,2/2/18,TM PEIRCE ES,,Renovation,AN18-000008,Minor Removal Project,,Elementary,Thomas M. Peirce School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=77764787&permit_ID=4025086,"TM PEIRCE ES - CAP 1 LF ACPI IN MAIN GYM ADJACENT LUNCHROOM B, <1 LF ACPFI IN CLASSROOM 1 CLOSET, 2 LF ACPFI IN CLASSROOM 13 CLOSET, 10 LF ACPI IN HALL BETWEEN BE OFFICE & BOY'S RESTROOM, 10 LF ACPI IN HALL FOR KITCHEN SERVING AREA.",1/4/18
1/3/18,1/3/18,KENDERTON ES,,Emergency Renovation,AN18-000009,Small Removal Project,,Elementary/Middle,Kenderton Elementary School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=77764899&permit_ID=4025175,"KENDERTON ES - REM 3 LF ACPI IN CAFETERIA ON LEAKING LINE, CAP <1 LF ACPFI IN MEN'S RESTROOM ACROSS MAIN OFFICE.",1/3/18
1/3/18,2/2/18,LINCOLN HS POOL & FIELD HOUSES,,Renovation,AN18-000015,Minor Removal Project,,High,Abraham Lincoln High School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=77765163&permit_ID=4025375,"LINCOLN HS FIELD HOUSE & POOL HOUSE - REM <1 LF ACPFI IN POOL HOUSE LEFT SIDE STAFF RESTROOM/SHOWER/LOCKERS, FIELD HOUSE: CAP 1 LF ACPI IN BOILER ROOM, <1 LF ACPFI IN BOILER ROOM OFFICE AREA, <1 LF ACPFI IN FRONT STORAGE ROOM IN BOILER ROOM AREA, 1 LF ACPFI IN FORMER COAL STORAGE ROOM IN BOILER ROOM AREA, 1 LF ACPFI IN FOOTBALL LOCKER ROOM, REM 1 LF ACPFI IN DRYING AREA BETWEEN SHOWERS & FOOTBALL LOCKER ROOM, CAP 1 LF ACPFI IN STORAGE ROOM NEXT TO FOOTBALL COACHES OFICE, 3 LF ACPFI IN PIPE CHAS",1/4/18
1/3/18,2/2/18,MIFFLIN ES,,Renovation,AN18-000005,Small Removal Project,,Elementary/Middle,Thomas Mifflin School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=77764708&permit_ID=4025030,"MIFFLIN ES - CAP 3 LF ACPI IN BASEMENT BOILER ROOM, CAP 1 LF ACPFI IN BASEMENT FAN ROOM.",1/4/18
1/3/18,2/2/18,LAMBERTON ES,,Renovation,AN18-000014,Minor Removal Project,,Elementary/Middle,Robert E. Lamberton School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=77765105&permit_ID=4025332,"LAMBERTON ES - REM 8 SF OF TRANSITE CEILING PANEL IN BASEMENT ROOM 5A COAT CLOSET, REM 4 SF OF VAT IN 1ST FLOOR HALL AT HYDRATION STATION NEAR 110, CAP 2 LF ACPI IN 1ST FLOOR RIGHT SIDE STORAGE AREA IN WALKWAY TO STAGE BY STAIRWELL, REM 4 SF OF VAT IN 2ND FLOOR HALL AT CLASSROOM 207 ENTRANCE, REM <1 SF OF TRANSITE CEILING PANEL IN ROOM 114.",1/4/18
1/3/19,1/14/19,OLNEY ES,,Renovation,AN19-000010,Minor Removal Project,,Elementary/Middle,Olney School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=79029071&permit_ID=4904802,REM 12 LF ACPI IN BOOK CLOSET OUTSIDE 304.,1/4/19
1/4/21,1/30/21,PRINCE HALL ES,,Renovation,AN21-000008,Minor Removal Project,,Elementary,Prince Hall School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=82900066&permit_ID=7912382,"PRINCE HALL ES - REM 1 SF OF AC WALL PAINT IN THE FOLLOWING AREAS: Cafeteria, Auditorium/Stage, Gym, Storage Room in Music Room 117,Hallway between Auditorium and Gymnasium, Hallway between Teacher's Lounge and Maintenance Storage and Receiving Area",1/6/21
1/4/21,1/9/21,HOUSTON ES,,Renovation,AN21-000005,Minor Removal Project,,Elementary/Middle,Henry H. Houston School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=82899857&permit_ID=7912240,HOUSTON ES - REM 12 LF ACPI IN 303 CLOSET.,1/5/21
1/4/21,1/11/21,FOX CHASE ES,,Renovation,AN21-000007,Minor Removal Project,,Elementary,Fox Chase School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=82900043&permit_ID=7912365,FOX CHASE ES - REM 20 LF ACPI & 50 SF OF PLASTER IN GYM.,1/5/21
1/5/18,2/2/18,MITCHELL ES,,Renovation,AN18-000022,Minor Removal Project,,Elementary/Middle,S. Weir Mitchell School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=77778096&permit_ID=4036732,"MITCHELL ES - CAP 2 LF ACPI & 2 LF OF ACPI IN GYM, 2 LF ACPI & 1 LF ACPI IN HALL FROM GYM TO B4, 1 LF ACPI & <1 LF ACPFI IN CAFETERIA, 1 LF ACPI & 1 LF ACPFI IN KITCHEN, 1 LF ACPI IN HALL ALON CAFE TO IMC, <1 LF ACPIF IN B6, <1 LF ACPFI IN STORAGE CLOSET NEX TO SHAFT WAY, 1 LF ACPI IN B1, 1 LF ACPI IN 110 COUNSLEORS OFFICE, 2 LF ACPI IN PRINCIPALS STORAGE ROOM/RESTROOM, 1 LF ACPI IN 111, 1 LF ACPI IN 109, 1 LF ACPI IN 106, 1 LF ACPI & 3 LF ACPI IN 2ND FLR WOMEN'S RR & STORAGE, 1 LF ACPI & 1 LF A",1/8/18
1/5/18,2/2/18,BIG PICTURE HS (OLD HUNTER),,Renovation,AN18-000021,Minor Removal Project,,High,El Centro de Estudiantes (Big Picture),,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=77775839&permit_ID=4034494,BIG PICTURE HS EL CENTRO DE ESTUDIANTES (OLD HUNTER) - REM 15 LF ACPI IN SMALL AREA AT TTHE BASE OF THE SOUTH STAIRS (USED AS CAFE IN FRONT OF BOY'S RESTROOM).,1/8/18
